0 1 7472
0 1 7475
0 1 7483
0 1 7484
0 1 7491
0 1 7492
0 1 7494
0 1 7495
0 1 7499
0 1 7509
0 1 7512
0 1 7518
0 1 7520
0 1 7521
0 1 7523
0 1 7524
0 1 7534
0 1 7535
0 1 7536
0 1 7541
0 1 7544
0 1 7550
0 1 7561
0 1 7567
0 1 7577
0 1 7582
0 1 7584
0 1 7589
0 1 7595
0 1 7604
0 1 7608
0 1 7613
0 1 7616
0 1 7625
0 1 7630
0 1 7639
0 1 7644
0 1 7646
0 1 7651
0 1 7652
0 1 7658
0 1 7661
0 1 7663
0 1 7666
0 1 7668
0 1 7669
0 1 7694
0 1 7695
0 1 7697
0 1 7702
0 1 7704
0 1 7707
0 1 7710
0 1 7713
0 1 7716
0 1 7721
0 1 7726
0 1 7736
0 1 7739
0 1 7740
0 1 7743
0 1 7744
0 1 7758
0 1 7767
0 1 7777
0 1 7795
0 1 7799
0 1 7806
0 1 7808
0 1 7809
0 1 7812
0 1 7815
0 1 7818
0 1 7828
0 1 7832
0 1 7838
0 1 7855
0 1 7859
0 1 7870
0 1 7873
0 1 7879
0 1 7882
0 1 7886
0 1 7887
0 1 7888
0 1 7889
0 1 7896
0 1 7901
0 1 7905
0 1 7906
0 1 7908
0 1 7913
0 1 7919
0 1 7922
0 1 7927
0 1 7933
0 1 7937
0 1 7943
0 1 7945
0 1 7950
0 1 7951
0 1 7953
0 1 7956
0 1 7961
0 1 7965
0 1 7968
0 1 7980
0 1 7983
0 1 7989
0 1 7994
0 1 7995
0 1 8012
0 1 8016
0 1 8021
0 1 8028
0 1 8035
0 1 8036
0 1 8041
0 1 8046
0 1 8048
0 1 8049
0 1 8050
0 1 8051
0 1 8052
0 1 8058
0 1 8059
0 1 8060
0 1 8061
0 1 8066
0 1 8082
0 1 8091
0 1 8100
0 1 8108
0 1 8111
0 1 8114
0 1 8115
0 1 8119
0 1 8126
0 1 8128
0 1 8131
0 1 8136
0 1 8150
0 1 8154
0 1 8159
0 1 8169
0 1 8172
0 1 8175
0 1 8179
0 1 8187
0 1 8193
0 1 8194
0 1 8198
0 1 8204
0 1 8215
0 1 8222
0 1 8224
0 1 8225
0 1 8228
0 1 8229
0 1 8238
0 1 8241
0 1 8242
0 1 8248
0 1 8255
0 1 8268
0 1 8279
0 1 8283
0 1 8285
0 1 8295
0 1 8296
0 1 8298
0 1 8299
0 1 8301
0 1 8308
0 1 8310
0 1 8314
0 1 8336
0 1 8338
0 1 8340
0 1 8345
0 1 8356
0 1 8363
0 1 8371
0 1 8376
0 1 8382
0 1 8384
0 1 8397
0 1 8400
0 1 8401
0 1 8405
0 1 8423
0 1 8425
0 1 8437
0 1 8438
0 1 8439
0 1 8445
0 1 8452
0 1 8453
0 1 8456
0 1 8460
0 1 8462
0 1 8485
0 1 8487
0 1 8496
0 1 8502
0 1 8507
0 1 8527
0 1 8543
0 1 8544
0 1 8545
0 1 8561
0 1 8565
0 1 8584
0 1 8587
0 1 8599
0 1 8605
0 1 8606
0 1 8609
0 1 8614
0 1 8615
0 1 8620
0 1 8622
0 1 8623
0 1 8624
0 1 8625
0 1 8632
0 1 8640
0 1 8642
0 1 8643
0 1 8644
0 1 8648
0 1 8651
0 1 8652
0 1 8660
0 1 8668
0 1 8673
0 1 8678
0 1 8692
0 1 8694
0 1 8702
0 1 8711
0 1 8719
0 1 8728
0 1 8739
0 1 8741
0 1 8743
0 1 8769
0 1 8778
0 1 8781
0 1 8782
0 1 8783
0 1 8794
0 1 8802
0 1 8806
0 1 8812
0 1 8818
0 1 8822
0 1 8824
0 1 8828
0 1 8844
0 1 8845
0 1 8849
0 1 8857
0 1 8869
0 1 8871
0 1 8882
0 1 8887
0 1 8893
0 1 8906
0 1 8908
0 1 8922
0 1 8933
0 1 8936
0 1 8946
0 1 8948
0 1 8954
0 1 8958
0 1 8977
0 1 8980
0 1 8983
0 1 8984
0 1 8986
0 1 8988
0 1 8989
0 1 8998
0 1 9000
0 1 9004
0 1 9008
0 1 9009
0 1 9016
0 1 9022
0 1 9028
0 1 9041
0 1 9051
0 1 9053
0 1 9054
0 1 9068
0 1 9070
0 1 9079
0 1 9090
0 1 9093
0 1 9097
0 1 9099
0 1 9104
0 1 9121
0 1 9130
0 1 9134
0 1 9141
0 1 9148
0 1 9153
0 1 9158
0 1 9160
0 1 9161
0 1 9162
0 1 9170
0 1 9173
0 1 9175
0 1 9179
0 1 9181
0 1 9182
0 1 9184
0 1 9189
0 1 9191
0 1 9194
0 1 9199
0 1 9202
0 1 9207
0 1 9208
0 1 9213
0 1 9217
0 1 9218
0 1 9220
0 1 9221
0 1 9225
0 1 9235
0 1 9237
0 1 9238
0 1 9239
0 1 9248
0 1 9252
0 1 9254
0 1 9257
0 1 9267
0 1 9271
0 1 9281
0 1 9283
0 1 9294
0 1 9306
0 1 9309
0 1 9310
0 1 9311
0 1 9322
0 1 9326
0 1 9330
0 1 9333
0 1 9338
0 1 9340
0 1 9341
0 1 9342
0 1 9350
0 1 9356
0 1 9360
0 1 9372
0 1 9379
0 1 9386
0 1 9396
0 1 9399
0 1 9400
0 1 9402
0 1 9409
0 1 9412
0 1 9417
0 1 9428
0 1 9431
0 1 9433
0 1 9437
0 1 9439
0 1 9441
0 1 9444
0 1 9445
0 1 9451
0 1 9455
0 1 9460
0 1 9461
0 1 9473
0 1 9475
0 1 9479
0 1 9481
0 1 9495
0 1 9498
0 1 9505
0 1 9506
0 1 9508
0 1 9511
0 1 9514
0 1 9525
0 1 9541
0 1 9551
0 1 9558
0 1 9561
0 1 9564
0 1 9570
0 1 9577
0 1 9579
0 1 9581
0 1 9585
0 1 9595
0 1 9603
0 1 9605
0 1 9606
0 1 9612
0 1 9613
0 1 9616
0 1 9619
0 1 9630
0 1 9631
0 1 9635
0 1 9638
0 1 9639
0 1 9640
0 1 9647
0 1 9649
0 1 9657
0 1 9664
0 1 9676
0 1 9679
0 1 9692
0 1 9695
0 1 9702
0 1 9703
0 1 9704
0 1 9708
0 1 9709
0 1 9711
0 1 9714
0 1 9715
0 1 9724
0 1 9728
0 1 9731
0 1 9732
0 1 9733
0 1 9756
0 1 9757
0 1 9758
0 1 9770
0 1 9776
0 1 9783
0 1 9790
0 1 9795
0 1 9798
0 1 9819
0 1 9824
0 1 9828
0 1 9830
0 1 9836
0 1 9839
0 1 9842
0 1 9849
0 1 9855
0 1 9860
0 1 9862
0 1 9863
0 1 9865
0 1 9867
0 1 9872
0 1 9874
0 1 9876
0 1 9879
0 1 9884
